Країна,URL,Столиця,Офіційні мови,Незалежність,Валюта,Телефонний код
Північний Кіпр,https://uk.wikipedia.org/wiki/%D0%A2%D1%83%D1%80%D0%B5%D1%86%D1%8C%D0%BA%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%9F%D1%96%D0%B2%D0%BD%D1%96%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D0%9A%D1%96%D0%BF%D1%80%D1%83,Невідомо,турецька,Невідомо,турецька ліра ( TRY ),+ 90 (+90-392 для ТРПК )
Абхазія,https://uk.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%90%D0%B1%D1%85%D0%B0%D0%B7%D1%96%D1%8F,Невідомо,"абхазька , російська [ 1 ]",Невідомо,"російський рубль , апсар ( RUB )",+7 840 та 7 940
Амбазонія,https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B1%D0%B0%D0%B7%D0%BE%D0%BD%D1%96%D1%8F,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Реюньйон,https://uk.wikipedia.org/wiki/%D0%A0%D0%B5%D1%8E%D0%BD%D1%8C%D0%B9%D0%BE%D0%BD,Невідомо,Французька,Невідомо,Невідомо,Невідомо
Південна Осетія,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0_%D0%9E%D1%81%D0%B5%D1%82%D1%96%D1%8F,Невідомо,"осетинська , російська , грузинська [ 1 ]",Невідомо,російський рубль ( RUB ),"+7 9971, +7 9976, +7 99744, +7 995344"
Австралія,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%96%D1%8F,Невідомо,англійська 1,від Великої Британії,Австралійський долар ( AUD ),+61
Мартиніка,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D1%96%D0%BA%D0%B0,Невідомо,,Невідомо,Євро ( EUR ),Невідомо
Майотта,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BE%D1%82%D1%82%D0%B0,Невідомо,Французька мова,Невідомо,Євро ( EUR ),+262
Гваделупа,https://uk.wikipedia.org/wiki/%D0%93%D0%B2%D0%B0%D0%B4%D0%B5%D0%BB%D1%83%D0%BF%D0%B0,Невідомо,,Невідомо,Євро ( EUR ),Невідомо
Гвіана,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%8C%D0%BA%D0%B0_%D0%93%D0%B2%D1%96%D0%B0%D0%BD%D0%B0,Невідомо,Французька,Невідомо,Євро ( Класифікація валют (ISO 4217) ),+594
Азорські Острови,https://uk.wikipedia.org/wiki/%D0%90%D0%B7%D0%BE%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,португальська,Невідомо,Євро (€) ( EUR ),+351
Мадейра,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B4%D0%B5%D0%B9%D1%80%D0%B0,Невідомо,португальська,Невідомо,Євро (€) ( EUR ),+351-291-ххх-ххх
Суверенні території,https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%BD%D1%96_%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97_%D0%86%D1%81%D0%BF%D0%B0%D0%BD%D1%96%D1%97,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Бонайре,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BD%D0%B0%D0%B9%D1%80%D0%B5,Невідомо,"Нідерландська , пап'яменто",Невідомо,Долар США ( USD ),+599
Сеута,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D1%83%D1%82%D0%B0,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Гонконг,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D0%BA%D0%BE%D0%BD%D0%B3,Невідомо,кантонська мова китайська мова англійська мова [ note 2 ],Невідомо,гонконзький долар ( HKD ),+ 852
Мелілья,https://uk.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D1%96%D0%BB%D1%8C%D1%8F,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Сінт-Естатіус,https://uk.wikipedia.org/wiki/%D0%A1%D1%96%D0%BD%D1%82-%D0%95%D1%81%D1%82%D0%B0%D1%82%D1%96%D1%83%D1%81,Невідомо,"нідерландська , англійська",Невідомо,Американський долар ( USD ),+599
Макао,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D0%BE,Невідомо,"Китайська , [ 1 ] португальська",Невідомо,Аоминська патака ( MOP ),+853
Саба,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B1%D0%B0_(%D0%BE%D1%81%D1%82%D1%80%D1%96%D0%B2),Невідомо,"нідерландська , пап'яменто , англійська [ 1 ]",Невідомо,Американський долар ( USD ),+599
Канарські Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B0%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Аланди,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B0%D0%BD%D0%B4%D1%81%D1%8C%D0%BA%D1%96_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,шведська,Невідомо,Євро ( EUR ),+358 18
Кліппертон,https://uk.wikipedia.org/wiki/%D0%9A%D0%BB%D1%96%D0%BF%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%BD,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Французькі Південні і Антарктичні Території,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%8C%D0%BA%D1%96_%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D1%96_%D1%96_%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D1%96_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97,Невідомо,Французька,Невідомо,Невідомо,Невідомо
Французька Полінезія,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%8C%D0%BA%D0%B0_%D0%9F%D0%BE%D0%BB%D1%96%D0%BD%D0%B5%D0%B7%D1%96%D1%8F,Невідомо,"Французька , таїтянська",Невідомо,Французький тихоокеанський франк ( XPF ),+689
Сен-П'єр і Мікелон,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%9F%27%D1%94%D1%80_%D1%96_%D0%9C%D1%96%D0%BA%D0%B5%D0%BB%D0%BE%D0%BD,Невідомо,французька,Невідомо,Євро ( EUR ),+508
Сен-Мартен,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%9C%D0%B0%D1%80%D1%82%D0%B5%D0%BD_(%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%96%D1%8F),Невідомо,Французька,Невідомо,Євро ( EUR ),+590
Сен-Бартельмі,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%91%D0%B0%D1%80%D1%82%D0%B5%D0%BB%D1%8C%D0%BC%D1%96,Невідомо,Французька,Невідомо,Євро ( EUR ),Невідомо
Нова Каледонія,https://uk.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%B0_%D0%9A%D0%B0%D0%BB%D0%B5%D0%B4%D0%BE%D0%BD%D1%96%D1%8F,Невідомо,французька,Невідомо,Французький тихоокеанський франк ( XPF ),+687
Волліс і Футуна,https://uk.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%BB%D1%96%D1%81_%D1%96_%D0%A4%D1%83%D1%82%D1%83%D0%BD%D0%B0,Невідомо,французька,Невідомо,Французький тихоокеанський франк ( XPF ),+681
Пуерто-Рико,https://uk.wikipedia.org/wiki/%D0%9F%D1%83%D0%B5%D1%80%D1%82%D0%BE-%D0%A0%D0%B8%D0%BA%D0%BE,Невідомо,"іспанська мова , англійська мова",Невідомо,Долар США ( USD ),"+1-787, +1-939"
Зовнішні малі острови США,https://uk.wikipedia.org/wiki/%D0%97%D0%BE%D0%B2%D0%BD%D1%96%D1%88%D0%BD%D1%96_%D0%BC%D0%B0%D0%BB%D1%96_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%A1%D0%A8%D0%90,Невідомо,англійська,Невідомо,Долар США ( USD ),Невідомо
Американські Віргіни,https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%92%D1%96%D1%80%D0%B3%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,англійська мова,Невідомо,Долар США ( USD ),Невідомо
Північні Маріани,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%BD%D1%96%D1%87%D0%BD%D1%96_%D0%9C%D0%B0%D1%80%D1%96%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,"англійська , чаморро",Невідомо,долар США ( Класифікація валют (ISO 4217) ),+1 670
Гуам,https://uk.wikipedia.org/wiki/%D0%93%D1%83%D0%B0%D0%BC,Невідомо,"англійська , чаморро",Невідомо,Долар США ( USD ),++1-671
Американське Самоа,https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%A1%D0%B0%D0%BC%D0%BE%D0%B0,Невідомо,"самоанська , англійська",Невідомо,долар США ( USD ),+1 684
Острів Петра I,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%9F%D0%B5%D1%82%D1%80%D0%B0_I,Невідомо,немає,Невідомо,Невідомо,Невідомо
Земля Королеви Мод,https://uk.wikipedia.org/wiki/%D0%97%D0%B5%D0%BC%D0%BB%D1%8F_%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D0%B8_%D0%9C%D0%BE%D0%B4,Невідомо,немає,Невідомо,Невідомо,Невідомо
Свальбард,https://uk.wikipedia.org/wiki/%D0%A1%D0%B2%D0%B0%D0%BB%D1%8C%D0%B1%D0%B0%D1%80%D0%B4,Невідомо,норвезька,Невідомо,Норвезька крона ( NOK ),+47
Острів Буве,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D0%B2%D0%B5,Невідомо,немає,Невідомо,Невідомо,Невідомо
Ян-Маєн,https://uk.wikipedia.org/wiki/%D0%AF%D0%BD-%D0%9C%D0%B0%D1%94%D0%BD,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Токелау,https://uk.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BA%D0%B5%D0%BB%D0%B0%D1%83,Невідомо,мова Токелау англійська самоанська 1,Невідомо,Новозеландський долар ( NZD ),+690
Територія Росса,https://uk.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F_%D0%A0%D0%BE%D1%81%D1%81%D0%B0,Невідомо,англійська,Невідомо,Невідомо,+64-2409
Острови Кука,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%9A%D1%83%D0%BA%D0%B0,Невідомо,маорі о-вів Кука англійська 1,Невідомо,Новозеландський долар ( NZD ),+682
Фарери,https://uk.wikipedia.org/wiki/%D0%A4%D0%B0%D1%80%D0%B5%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,"данська , фарерська",Невідомо,Фарерська крона ( DKK ),+298
Кюрасао,https://uk.wikipedia.org/wiki/%D0%9A%D1%8E%D1%80%D0%B0%D1%81%D0%B0%D0%BE,Невідомо,"Нідерландська , Пап'яменто , й англійська",Невідомо,Гульден Нідерландських Антильських островів ( ANG ),+ +599
Сінт-Мартен,https://uk.wikipedia.org/wiki/%D0%A1%D1%96%D0%BD%D1%82-%D0%9C%D0%B0%D1%80%D1%82%D0%B5%D0%BD,Невідомо,"нідерландська , англійська",Невідомо,Нідерландський антильський гульден ( ANG ),+599
Аруба,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D0%B1%D0%B0,Невідомо,"нідерландська мова , пап'яменто [ 1 ]",Невідомо,Арубський флорін ( AWG ),+297
Гренландія,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%BD%D0%BB%D0%B0%D0%BD%D0%B4%D1%96%D1%8F,Невідомо,Гренландська,Невідомо,Данська крона ( DKK ),+299
Ніуе,https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D1%83%D0%B5,Невідомо,"Англійська , ніуе",від Нової Зеландії,"Новозеландський долар , Долар Ніуе ( NZD )",+683
Фолкленди,https://uk.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BB%D0%BA%D0%BB%D0%B5%D0%BD%D0%B4%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,англійська,Невідомо,Фолклендський фунт [b] ( FKP ),+500
Теркс і Кайкос,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%A2%D0%B5%D1%80%D0%BA%D1%81_%D1%96_%D0%9A%D0%B0%D0%B9%D0%BA%D0%BE%D1%81,Невідомо,англійська мова,Невідомо,Долар США ( USD ),+1-649
Піткерн,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D1%82%D0%BA%D0%B5%D1%80%D0%BD,Невідомо,"піткернська , англійська",Невідомо,Новозеландський долар ( Класифікація валют (ISO 4217) ),+64
Острів Мен,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%9C%D0%B5%D0%BD,Невідомо,англійська менська,Невідомо,Фунт острова Мен (прив'язаний до Фунта стерлінгів ) ( IMP;GBP ),++44
Кайманові Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B9%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,Англійська,від Ямайки,Долар Кайманових Островів ( KYD ),+1 345
Монтсеррат,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BD%D1%82%D1%81%D0%B5%D1%80%D1%80%D0%B0%D1%82,Невідомо,англійська,Невідомо,східнокарибський долар ( XCD ),Невідомо
Гібралтар,https://uk.wikipedia.org/wiki/%D0%93%D1%96%D0%B1%D1%80%D0%B0%D0%BB%D1%82%D0%B0%D1%80,Невідомо,англійська,Невідомо,Гібралтарський фунт £ ( GIP ),+ +350
"Острови Святої Єлени, Вознесіння і Тристан-да-Кунья","https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D1%97_%D0%84%D0%BB%D0%B5%D0%BD%D0%B8,_%D0%92%D0%BE%D0%B7%D0%BD%D0%B5%D1%81%D1%96%D0%BD%D0%BD%D1%8F_%D1%96_%D0%A2%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BD-%D0%B4%D0%B0-%D0%9A%D1%83%D0%BD%D1%8C%D1%8F",Невідомо,англійська,Невідомо,"Фунт Святої Єлени , Фунт стерлінгів ( SHP, GBP )",Невідомо
Джерсі,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D1%80%D1%81%D1%96,Невідомо,англійська ; французька ; нормандська ( джерсійський діалект ),Невідомо,"Фунт стерлінгів , Джерсійський фунт ( GBP;JEP )",+44-1534
Південна Джорджія і Південні Сандвічеві Острови,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6%D1%96%D1%8F_%D1%96_%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D1%96_%D0%A1%D0%B0%D0%BD%D0%B4%D0%B2%D1%96%D1%87%D0%B5%D0%B2%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,англійська,Невідомо,Фунт стерлінгів ( GBP ),Невідомо
Британська Територія в Індійському Океані,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F_%D0%B2_%D0%86%D0%BD%D0%B4%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%BE%D0%BC%D1%83_%D0%9E%D0%BA%D0%B5%D0%B0%D0%BD%D1%96,Невідомо,Англійська,Невідомо,Долар США [ 1 ] ( USD ),+246
Британські Віргіни,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%92%D1%96%D1%80%D0%B3%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,англійська,Невідомо,долар США ( USD ),Невідомо
Акротирі і Декелія,https://uk.wikipedia.org/wiki/%D0%90%D0%BA%D1%80%D0%BE%D1%82%D0%B8%D1%80%D1%96_%D1%96_%D0%94%D0%B5%D0%BA%D0%B5%D0%BB%D1%96%D1%8F,Невідомо,"англійська , грецька",Невідомо,Євро ( EUR ),+ 357
Ангілья,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D1%96%D0%BB%D1%8C%D1%8F,Невідомо,англійська,Невідомо,Східно-карибський долар ( XCD ),Невідомо
Бермуди,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%BC%D1%83%D0%B4%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,Англійська 1,Невідомо,Бермудський долар 3 ( BMD ),+1 441
Британська Антарктична Територія,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F,Невідомо,Англійська,Невідомо,Невідомо,Невідомо
Гернсі,https://uk.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D0%BD%D1%81%D1%96,Невідомо,"англійська , французька",Невідомо,Фунт стерлінгів ; Гернсійський фунт ( GBP;GGP ),+44
Острів Різдва,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%A0%D1%96%D0%B7%D0%B4%D0%B2%D0%B0,Невідомо,немає,Невідомо,Австралійський долар ( AUD ),+61
Острів Герд і острови Макдональд,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%93%D0%B5%D1%80%D0%B4_%D1%96_%D0%9C%D0%B0%D0%BA%D0%B4%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Австралійська Антарктична Територія,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F,Невідомо,немає,Невідомо,австралійський долар ( Класифікація валют (ISO 4217) ),+672
Кокосові Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BA%D0%BE%D1%81%D0%BE%D0%B2%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,англійська ( de facto ),Невідомо,Австралійський долар ( AUD ),+61 891
Острови Ашмор і Картьє,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%90%D1%88%D0%BC%D0%BE%D1%80_%D1%96_%D0%9A%D0%B0%D1%80%D1%82%D1%8C%D1%94,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Острів Норфолк,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%9D%D0%BE%D1%80%D1%84%D0%BE%D0%BB%D0%BA,Невідомо,"Норфолкська мова , англійська",Невідомо,Австралійський долар ( AUD ),++6723
Острови Коралового моря,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%9A%D0%BE%D1%80%D0%B0%D0%BB%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D0%BC%D0%BE%D1%80%D1%8F,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Японія,https://uk.wikipedia.org/wiki/%D0%AF%D0%BF%D0%BE%D0%BD%D1%96%D1%8F,Невідомо,немає [ ком. 2 ] [ 3 ],Невідомо,Єна (¥) ( JPY ),+81
Ямайка,https://uk.wikipedia.org/wiki/%D0%AF%D0%BC%D0%B0%D0%B9%D0%BA%D0%B0,Невідомо,англійська мова,,Ямайський долар ( JMD ),+876
Швейцарія,https://uk.wikipedia.org/wiki/%D0%A8%D0%B2%D0%B5%D0%B9%D1%86%D0%B0%D1%80%D1%96%D1%8F,Невідомо,"німецька ( швейцарський варіант ), французька , італійська , романшська",Конфедерація 1848 p.,Швейцарський франк ( CHF ),+41
Чорногорія,https://uk.wikipedia.org/wiki/%D0%A7%D0%BE%D1%80%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%96%D1%8F,Невідомо,Чорногорська,,Євро [ 5 ] ( EUR ),+382
Шрі-Ланка,https://uk.wikipedia.org/wiki/%D0%A8%D1%80%D1%96-%D0%9B%D0%B0%D0%BD%D0%BA%D0%B0,Невідомо,"сингальська , тамільська",від Британської імперії,Рупія Шрі-Ланки ( LKR ),+94
Чилі,https://uk.wikipedia.org/wiki/%D0%A7%D0%B8%D0%BB%D1%96,Невідомо,іспанська мова,,Чилійський песо ( CLP ),+56
Швеція,https://uk.wikipedia.org/wiki/%D0%A8%D0%B2%D0%B5%D1%86%D1%96%D1%8F,Невідомо,шведська [ 1 ] [ 2 ],Невідомо,Шведська крона ( SEK ),+46
